game_number,Date,Team,Opponent,Name,Projected_PTS,Actual_PTS,Projected_REB,Actual_REB,Projected_AST,Actual_AST,Projected_TOV,Actual_TOV,Projected_STL,Actual_STL,Projected_BLK,Actual_BLK,Projected_FG3A,Actual_FG3A,Projected_PF,Actual_PF,Projected_FGM,Actual_FGM,Projected_FGA,Actual_FGA,Projected_OREB,Actual_OREB,Projected_FTA,Actual_FTA
1,11/1/17,MIN,NOP,Nemanja Bjelica,4.96,12,2.82,4,0.69,0,0.6,2,0.33,2,0.23,0,0.82,2,1.24,4,1.81,5,3.95,6,0.59,0,0.62,0
1,11/1/17,MIN,NOP,Taj Gibson,8.81,11,5.32,12,1.21,1,1.24,1,0.65,2,0.67,0,0.08,1,2.88,5,3.83,5,7.31,8,1.81,3,1.3,0
1,11/1/17,MIN,NOP,Gorgui Dieng,4.79,12,3.59,8,0.89,2,0.72,0,0.35,1,0.46,0,0.13,1,1.65,3,1.95,4,3.77,8,1.12,3,1,4
1,11/1/17,MIN,NOP,Karl-Anthony Towns,23.97,2,11.13,5,1.95,0,2.44,4,0.57,1,1.21,2,1.31,0,3.87,5,9.32,1,16.87,7,2.99,1,4.77,0
1,11/1/17,MIN,NOP,Jamal Crawford,7.53,11,1.11,2,1.94,1,1.03,3,0.45,3,0.15,0,0.99,2,0.9,1,2.58,3,6.75,4,0.17,0,1.55,3
1,11/1/17,MIN,NOP,Jimmy Butler,18.37,23,5.42,4,4.86,2,1.94,2,1.63,3,0.32,0,0.95,0,2.12,0,5.84,8,13.31,18,1.34,0,6.61,10
1,11/1/17,MIN,NOP,Tyus Jones,3.58,4,1.5,1,1.91,5,0.8,2,0.56,0,0.1,0,0.41,0,0.85,1,1.27,1,3.22,1,0.23,0,0.77,2
1,11/1/17,MIL,NOP,Shabazz Muhammad,4.86,6,1.52,3,0.28,0,0.37,0,0.17,0,0.08,1,0.23,0,0.64,1,1.87,3,4.42,4,0.62,1,1.31,0
1,11/1/17,MIN,NOP,Andrew Wiggins,19.13,18,4.26,6,1.91,0,2.05,3,0.99,1,0.36,0,1.45,0,2.39,0,6.87,9,15.82,21,1.27,3,5.58,3
1,11/1/17,MIN,NOP,Jeff Teague,12.76,5,3.39,2,6.45,9,2.45,4,1.26,0,0.27,0,1.07,0,2.64,1,4.23,2,10.1,6,0.4,0,3.74,2
1,11/1/17,NOP,MIN,Mike James,12.48,10,3.08,4,3.44,6,1.54,2,0.81,0,0.47,0,0.89,1,2.19,3,4.88,1,10.22,10,0.92,0,2.23,10
1,11/1/17,NOP,MIN,E'Twaun Moore,9.54,5,2.02,2,2.31,3,0.78,3,0.84,4,0.39,0,0.99,1,2.74,5,4.01,2,7.55,6,0.49,1,0.77,0
1,11/1/17,DET,MIN,Jameer Nelson,6.67,0,2.06,3,3.83,3,1.26,1,0.54,0,0.17,0,1.07,0,2.28,3,2.62,0,5.64,2,0.27,0,0.45,0
1,11/1/17,NOP,MIN,Ian Clark,7.41,5,2.08,1,1.64,3,0.73,0,0.63,0,0.12,0,0.97,1,1.62,3,2.95,2,5.59,7,0.31,1,0.74,0
1,11/1/17,NOP,MIN,Tony Allen,3.07,10,1.69,4,0.55,0,0.43,1,0.41,0,0.18,0,0.06,0,1.01,3,1.34,5,2.59,8,0.67,1,0.56,0
1,11/1/17,NOP,MIN,Jrue Holiday,13.79,14,3.84,5,6.64,6,2.43,2,1.34,0,0.54,0,1.13,0,3.13,4,5.7,7,11.2,14,0.62,1,1.72,0
1,11/1/17,NOP,MIN,DeMarcus Cousins,26.83,35,10.36,9,5.64,6,3.55,8,1.21,6,1.62,3,1.78,5,4.67,2,9.87,10,18.61,21,2.18,1,6.92,10
1,11/1/17,BKN,MIN,Dante Cunningham,5.38,3,3.63,0,0.56,0,0.28,1,0.6,0,0.44,0,0.87,1,2.16,2,2.13,1,4.79,6,0.86,0,0.47,0
1,11/1/17,NOP,MIN,Cheick Diallo,2.66,2,2.21,4,0.15,0,0.14,1,0.08,0,0.34,0,0,0,0.88,0,1.15,1,2.05,1,0.54,1,0.52,0
1,11/1/17,NOP,MIN,Darius Miller,0.18,0,0.08,0,0.05,0,0.03,0,0.01,0,0.02,0,0.02,0,0.07,0,0.06,0,0.16,1,0.03,0,0.04,0
1,11/1/17,NOP,MIN,Anthony Davis,28.69,24,10.42,10,2.69,6,2.23,2,1.14,3,2.05,1,0.61,0,3.07,2,11.03,8,18.61,18,2.47,3,7.46,11
2,11/1/17,IND,CLE,Al Jefferson,7.92,2,5.63,2,1.49,1,0.48,0,0.54,0,0.61,0,0,0,2,1,3.53,1,7.08,1,1.67,0,1.17,0
2,11/1/17,IND,CLE,Thaddeus Young,13.31,26,6.99,6,1.52,0,1.16,1,1.59,4,0.71,0,1.12,2,2.31,3,5.77,12,11.8,18,2.63,1,1.2,0
2,11/1/17,IND,CLE,Domantas Sabonis,12.1,15,9.15,12,2.25,6,1.41,3,0.61,0,0.88,1,0.69,0,3.72,3,5.15,6,9.64,15,2.17,1,1.64,4
2,11/1/17,IND,CLE,Cory Joseph,8.54,9,2.81,4,2.27,6,1.1,2,1.07,1,0.18,0,0.88,2,1.4,3,3.35,3,8.06,7,0.71,1,1.22,2
2,11/1/17,IND,CLE,TJ Leaf,6.48,5,3.42,2,1.53,0,0.71,0,0.49,0,0.39,0,0.6,1,1.58,2,2.56,2,5.78,3,1.01,1,1.19,0
2,11/1/17,IND,CLE,Darren Collison,14.76,25,2.96,5,5.97,8,1.65,1,1.29,1,0.28,0,1.45,3,1.91,4,5.63,9,11.86,10,0.6,1,2.33,5
2,11/1/17,IND,CLE,Lance Stephenson,5.98,0,3.04,5,2.21,3,1.01,1,0.42,0,0.26,0,0.48,0,1.52,2,2.54,0,7.12,4,0.32,0,0.76,0
2,11/1/17,IND,CLE,Bojan Bogdanovic,13.42,17,3.59,2,1.71,3,1.45,0,0.53,2,0.14,0,1.81,3,1.96,2,4.82,6,10.72,9,0.78,0,2.34,2
2,11/1/17,IND,CLE,Victor Oladipo,21.95,23,5.01,2,3.23,7,2.19,3,1.34,1,0.67,0,2.63,5,3.09,3,8.38,9,18.8,20,0.79,1,3.22,0
2,11/1/17,CLE,IND,Jose Calderon,1.02,0,0.7,0,0.6,0,0.27,0,0.05,0,0.01,0,0.14,0,0.17,0,0.4,0,1.04,0,0.15,0,0.08,0
2,11/1/17,CLE,IND,Jeff Green,7.41,15,2.34,3,0.98,1,0.76,2,0.34,2,0.22,0,0.48,1,1.07,5,2.66,6,6.26,8,0.45,0,1.83,4
