id,opponent,projected_pts,actual_pts
,WAS,101,112
,NYK,102,105
,SAS,91,80
,BKN,105,70
,MIA,94,97
,ORL,99,94
,MIN,111,109
,LAL,108,88
,HOU,97,113
,LAL,108,113
,CHI,94,98
,MIL,98,104
,NOP,107,85
,MIN,96,82
,CHI,87,99
,DET,98,99
,BOS,96,103
,PHI,99,113
,TOR,94,103
,WAS,95,95
,SAS,93,74
,SAC,89,75
,TOR,98,100
,MIN,89,81
,PHX,93,80
,LAC,97,91
,MEM,92,97
,MIN,101,106
,MEM,98,99
,SAC,101,111
,PHI,109,110
,ATL,102,104
,DEN,101,110
,SAS,94,89
,OKC,99,114
,HOU,105,95
,IND,100,97
,MIN,15,6
,POR,92,111
,DEN,99,108
,MIL,100,105
,IND,99,98
,NYK,101,75
,HOU,99,97
