id,game_number,date,name,team,opponent,projected_pts,actual_pts,projected_reb,actual_reb,projected_ast,actual_ast,projected_tov,actual_tov,projected_stl,actual_stl,projected_blk,actual_blk,projected_fg3a,actual_fg3a,projected_pf,actual_pf,projected_fgm,actual_fgm,projected_fga,actual_fga,projected_oreb,actual_oreb,projected_fta,actual_fta,game_id,player_id
270,14,11/2/17,Stephen Curry,GSW,SAS,25,21,4,8,6,5,2,2,1,3,0,0,3,3,2,2,8,7,18,13,0,1,4,4,14,262
569,29,11/4/17,Stephen Curry,GSW,DEN,22,22,4,0,5,11,2,3,1,2,0,0,3,5,2,0,7,7,16,14,1,0,4,4,29,262
835,42,11/6/17,Stephen Curry,GSW,MIA,24,16,4,5,6,4,2,1,1,2,0,0,3,2,2,3,7,5,16,19,0,0,5,5,42,262
1097,55,11/8/17,Stephen Curry,GSW,MIN,26,22,4,8,7,8,2,5,1,2,0,1,4,2,3,2,9,7,18,16,0,0,4,6,55,262
1541,78,11/11/17,Stephen Curry,GSW,PHI,26,22,4,4,6,9,2,2,1,1,0,0,4,3,2,0,8,5,17,12,0,0,6,9,78,262
2202,112,11/16/17,Stephen Curry,GSW,BOS,23,9,4,6,5,5,3,4,1,4,0,0,3,2,2,5,7,3,17,14,0,2,4,2,112,262
2480,126,11/18/17,Stephen Curry,GSW,PHI,23,35,4,5,5,5,2,2,1,0,0,1,3,4,2,1,7,11,16,22,0,0,6,9,126,262
2581,131,11/19/17,Stephen Curry,GSW,BKN,26,39,5,11,6,7,3,7,1,3,0,0,3,4,2,6,8,14,18,24,0,3,5,8,131,262
3000,152,11/22/17,Stephen Curry,GSW,OKC,22,24,4,5,5,6,3,6,1,1,0,0,3,3,2,1,7,9,15,18,0,1,5,3,152,262
3295,166,11/24/17,Stephen Curry,GSW,CHI,29,33,5,7,7,4,3,2,1,2,0,0,4,4,1,2,9,10,20,18,0,0,5,9,166,262
3448,174,11/25/17,Stephen Curry,GSW,NOP,30,27,5,4,6,6,3,1,1,1,0,0,4,3,2,2,9,9,20,25,0,0,6,6,174,262
4018,202,11/29/17,Stephen Curry,GSW,LAL,26,28,5,5,6,7,3,5,1,0,0,0,3,3,2,4,8,9,19,20,0,0,5,8,202,262
4275,215,12/1/17,Stephen Curry,GSW,ORL,25,23,5,6,6,10,2,4,1,3,0,0,3,3,2,2,8,9,18,20,0,1,5,2,215,262
4593,231,12/3/17,Stephen Curry,GSW,MIA,22,30,4,2,5,3,2,0,1,2,0,0,2,5,1,1,7,11,16,16,0,0,5,4,231,262
4651,234,12/4/17,Stephen Curry,GSW,NOP,26,31,5,5,6,11,3,2,1,1,0,0,3,5,2,5,8,9,18,19,0,2,5,9,234,262
8447,428,12/30/17,Stephen Curry,GSW,MEM,18,38,3,4,4,3,2,0,1,0,0,0,2,10,1,2,5,13,12,17,0,0,4,2,428,262
9014,457,1/3/18,Stephen Curry,GSW,DAL,23,32,4,5,5,8,2,3,1,1,0,0,3,6,1,1,7,11,16,19,0,0,5,5,457,262
9111,462,1/4/18,Stephen Curry,GSW,HOU,30,29,5,9,6,5,3,3,1,1,0,0,4,4,2,3,10,10,21,20,0,0,6,6,462,262
9367,475,1/6/18,Stephen Curry,GSW,LAC,30,45,5,6,6,3,3,2,1,3,0,0,4,8,2,2,9,11,20,21,0,2,6,16,475,262
9623,488,1/8/18,Stephen Curry,GSW,DEN,30,32,5,4,6,9,3,6,1,2,0,0,4,5,2,3,10,9,20,17,0,1,5,10,488,262
10302,523,1/13/18,Stephen Curry,GSW,TOR,26,24,5,6,5,9,3,1,1,1,0,0,3,2,2,3,8,6,17,12,0,0,6,12,523,262
10538,535,1/15/18,Stephen Curry,GSW,CLE,28,23,5,4,5,8,2,3,1,2,0,0,4,4,3,3,9,8,19,15,0,1,5,4,535,262
10857,551,1/17/18,Stephen Curry,GSW,CHI,27,30,5,9,7,4,2,6,1,1,0,0,4,6,1,2,8,10,18,18,0,0,5,4,551,262
11292,573,1/20/18,Stephen Curry,GSW,HOU,25,19,4,1,6,8,2,6,1,2,0,0,3,5,3,2,8,6,16,20,0,0,5,4,573,262
11695,593,1/23/18,Stephen Curry,GSW,NYK,24,32,4,6,5,7,2,1,1,0,0,0,4,8,1,2,7,9,15,19,0,0,5,6,593,262
11954,606,1/25/18,Stephen Curry,GSW,MIN,26,25,4,5,6,9,3,2,1,3,0,0,4,5,2,2,8,9,17,14,0,2,4,3,606,262
12285,623,1/27/18,Stephen Curry,GSW,BOS,25,49,5,4,6,5,2,1,1,2,0,0,3,8,2,2,7,16,16,24,0,0,5,10,623,262
